"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/leon/repos/vscode extensions/vscode-extension-samples/terminal-sample/src/extension.ts", "TypeScript", 195, 17, 24, 236
"Total", "-", 195, 17, 24, 236
